PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
LauriMarkkanen,32,10,8,11,2,4,10,10,3,28,62.5,100.0,2,8,1,0,0,1,25,39,UtahJazz
CollinSexton,30,3,7,12,4,5,4,4,5,24,50.0,100.0,1,2,1,0,0,2,14,31,UtahJazz
KeyonteGeorge,19,0,3,4,3,7,4,5,5,24,50.0,0,0,0,2,1,0,1,13,17,UtahJazz
JordanClarkson,17,3,6,10,0,3,5,6,2,27,50.0,75.0,0,3,2,2,0,1,6,14,UtahJazz
JohnCollins,10,6,3,6,0,2,4,4,1,20,50.0,100.0,4,2,1,0,0,0,13,11,UtahJazz
SimoneFontecchio,8,4,1,2,2,3,0,0,2,24,50.0,100.0,0,4,1,0,0,2,22,11,UtahJazz
KrisDunn,4,2,2,3,0,0,0,0,6,21,27.3,0,1,1,1,2,1,3,21,13,UtahJazz
WalkerKessler,4,5,2,2,0,0,0,2,1,25,40.0,66.7,1,4,1,0,5,0,7,12,UtahJazz
KellyOlynyk,4,6,1,3,0,0,2,2,4,17,30.0,50.0,1,5,3,0,1,4,-5,10,UtahJazz
OchaiAgbaji,4,4,1,3,0,1,2,2,0,24,20.0,100.0,0,4,1,0,1,2,5,5,UtahJazz
OmerYurtseven,0,2,0,0,0,0,0,0,0,3,14.3,100.0,0,2,0,0,0,0,7,2,UtahJazz
LukaSamanic,0,1,0,0,0,0,0,0,0,3,33.3,0,0,1,0,0,0,1,7,1,UtahJazz
UtahJazz,132,48,34,56,11,25,31,35,29,240,0.0,50.0,11,37,14,5,8,17,135,166,UtahJazz
BuddyHield,14,2,2,3,3,5,1,1,0,23,62.5,100.0,1,1,1,0,0,1,-24,12,IndianaPacers
AndrewNembhard,14,0,4,7,1,3,3,3,4,23,50.0,100.0,0,0,2,1,0,2,-20,12,IndianaPacers
JalenSmith,12,6,3,5,2,5,0,0,3,19,50.0,0,1,5,2,0,1,5,-28,15,IndianaPacers
MylesTurner,12,4,3,6,1,2,3,4,0,17,50.0,75.0,1,3,2,0,0,5,-8,9,IndianaPacers
BennedictMathurin,11,1,5,9,0,1,1,1,2,25,50.0,100.0,1,0,0,0,0,1,-18,9,IndianaPacers
T.J.McConnell,8,5,3,6,0,0,2,2,5,19,50.0,100.0,1,4,3,1,0,1,3,13,IndianaPacers
JaraceWalker,8,4,1,6,2,5,0,0,4,26,27.3,0,2,2,1,4,2,2,-17,13,IndianaPacers
KendallBrown,8,2,2,4,0,1,4,6,1,12,40.0,66.7,2,0,0,0,0,3,-1,6,IndianaPacers
JordanNwora,7,3,3,6,0,4,1,2,2,17,30.0,50.0,1,2,1,0,0,2,-19,3,IndianaPacers
OscarTshiebwe,4,6,1,5,0,0,2,2,0,12,20.0,100.0,4,2,0,2,0,0,-1,8,IndianaPacers
BenSheppard,4,3,1,2,0,5,2,2,3,25,14.3,100.0,2,1,0,0,0,4,-2,4,IndianaPacers
ObiToppin,2,3,1,3,0,0,0,0,2,13,33.3,0,1,2,0,1,0,1,5,6,IndianaPacers
IsaiahJackson,1,4,0,2,0,0,1,2,1,8,0.0,50.0,1,3,1,0,1,4,-5,3,IndianaPacers
JamesJohnson,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,IndianaPacers
IndianaPacers,105,50,29,64,9,31,20,25,27,240,40.0,0,23,27,13,9,4,31,-135,113,IndianaPacers
