PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
LauriMarkkanen,35,12,7,10,5,13,6,6,3,35,52.9,100.0,5,7,3,0,0,2,11,36,UtahJazz
KellyOlynyk,15,4,3,4,2,2,3,3,3,27,45.5,33.3,3,1,3,1,1,3,-4,20,UtahJazz
JohnCollins,13,12,3,6,1,5,4,4,0,34,70.0,100.0,5,7,0,0,1,4,-4,19,UtahJazz
JordanClarkson,13,4,1,8,3,5,2,3,6,34,50.0,0,1,3,2,1,0,0,-2,12,UtahJazz
CollinSexton,13,1,5,10,0,2,3,4,0,20,75.0,0,0,1,0,0,0,3,-4,6,UtahJazz
TalenHorton-Tucker,10,3,1,5,2,5,2,2,8,27,50.0,0.0,0,3,2,3,1,1,4,16,UtahJazz
KeyonteGeorge,8,3,1,2,2,3,0,0,2,12,50.0,0,1,2,1,0,0,2,-3,10,UtahJazz
WalkerKessler,7,4,2,4,1,2,0,0,0,21,33.3,50.0,2,2,0,0,0,0,6,8,UtahJazz
KrisDunn,4,1,2,5,0,2,0,0,3,19,100.0,50.0,0,1,3,1,0,6,8,1,UtahJazz
OchaiAgbaji,2,1,1,1,0,2,0,0,2,12,53.2,0,0,1,0,1,1,3,-2,5,UtahJazz
UtahJazz,120,45,26,55,16,41,20,22,27,240,43.8,0,17,28,14,7,4,24,10,133,UtahJazz
PaulGeorge,36,4,6,8,3,9,15,15,1,38,52.9,100.0,1,3,2,0,0,1,3,31,LAClippers
KawhiLeonard,25,9,6,12,4,10,1,3,5,37,45.5,33.3,3,6,1,2,0,1,9,26,LAClippers
NormanPowell,20,3,5,6,2,4,4,4,1,25,70.0,100.0,0,3,1,1,0,2,3,21,LAClippers
BonesHyland,12,2,3,5,2,5,0,0,1,22,50.0,0,0,2,3,1,0,2,-1,8,LAClippers
NicolasBatum,8,2,1,1,2,3,0,0,3,30,75.0,0,0,2,0,1,3,4,-4,16,LAClippers
IvicaZubac,6,2,3,6,0,0,0,2,0,19,50.0,0.0,0,2,1,0,2,2,1,4,LAClippers
RussellWestbrook,4,9,2,3,0,1,0,0,4,37,50.0,0,1,8,5,1,1,4,-4,12,LAClippers
RobertCovington,4,1,0,0,1,3,1,2,2,20,33.3,50.0,0,1,0,2,0,4,-6,6,LAClippers
MasonPlumlee,3,4,1,1,0,0,1,2,0,12,100.0,50.0,1,3,1,0,0,2,-11,5,LAClippers
LAClippers,118,36,27,42,14,35,22,28,17,240,53.2,0,6,30,14,8,6,22,-10,129,LAClippers
