PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
LauriMarkkanen,29,9,5,10,3,6,10,11,5,33,57.7,100.0,2,7,0,2,1,0,16,37,UtahJazz
CollinSexton,27,4,7,9,1,4,10,10,5,28,87.5,66.7,1,3,1,0,0,5,18,30,UtahJazz
JordanClarkson,21,4,5,12,1,6,8,8,4,31,50.0,83.3,2,2,2,0,1,2,-2,16,UtahJazz
JohnCollins,19,13,4,5,3,4,2,2,2,34,23.8,83.3,2,11,1,3,1,5,18,35,UtahJazz
KeyonteGeorge,19,3,2,2,3,9,6,6,3,27,50.0,100.0,0,3,1,1,0,0,-6,19,UtahJazz
KrisDunn,7,0,2,2,1,2,0,0,3,17,62.5,0,0,0,2,1,0,2,6,8,UtahJazz
WalkerKessler,4,6,2,4,0,0,0,2,0,14,100.0,0,2,4,0,0,1,2,-12,7,UtahJazz
KellyOlynyk,4,5,2,7,0,1,0,0,2,15,50.0,0,1,4,2,0,0,1,-10,3,UtahJazz
OchaiAgbaji,2,4,1,3,0,2,0,0,0,18,0.0,0,1,3,0,0,1,0,-9,3,UtahJazz
SimoneFontecchio,0,4,0,2,0,3,0,0,4,24,0.0,0,2,2,1,0,0,3,16,2,UtahJazz
UtahJazz,132,59,30,56,12,37,36,39,28,240,50.0,0,19,40,10,7,5,20,35,160,UtahJazz
D&#039;AngeloRussell,39,3,9,15,6,11,3,3,8,41,57.7,100.0,0,3,3,1,2,3,-2,39,LosAngelesLakers
AustinReaves,19,4,6,6,1,2,4,6,2,31,87.5,66.7,1,3,1,0,0,6,-21,21,LosAngelesLakers
RuiHachimura,17,3,6,10,0,2,5,6,1,19,50.0,83.3,1,2,0,1,0,0,12,15,LosAngelesLakers
AnthonyDavis,15,15,5,20,0,1,5,6,11,39,23.8,83.3,2,13,6,1,4,1,-12,23,LosAngelesLakers
ChristianWood,15,9,3,4,2,6,3,3,1,22,50.0,100.0,1,8,0,0,1,1,-4,21,LosAngelesLakers
TaureanPrince,12,1,3,4,2,4,0,0,1,30,62.5,0,0,1,0,0,1,3,-19,12,LosAngelesLakers
JarredVanderbilt,5,3,1,1,1,1,0,0,1,23,100.0,0,2,1,2,1,0,4,4,8,LosAngelesLakers
MaxChristie,3,0,0,1,1,1,0,0,3,14,50.0,0,0,0,0,1,0,3,9,6,LosAngelesLakers
SkylarMays,0,1,0,2,0,0,0,0,2,10,0.0,0,0,1,0,1,0,2,-5,2,LosAngelesLakers
CameronReddish,0,1,0,0,0,1,0,0,0,11,0.0,0,0,1,0,0,0,0,3,0,LosAngelesLakers
LosAngelesLakers,125,45,33,63,13,29,20,24,30,240,50.0,0,8,37,13,6,8,23,-35,147,LosAngelesLakers
