PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
CollinSexton,23,3,4,4,4,6,3,3,6,22,36.8,100.0,1,2,2,0,0,1,22,28,UtahJazz
JordanClarkson,20,6,4,7,4,6,0,0,5,26,29.4,100.0,0,6,3,2,0,1,21,25,UtahJazz
LauriMarkkanen,19,11,2,5,4,6,3,3,1,28,40.0,87.5,1,10,0,1,0,5,10,27,UtahJazz
JohnCollins,16,4,3,7,2,5,4,6,2,27,57.1,33.3,2,2,1,2,0,2,21,14,UtahJazz
KellyOlynyk,14,8,2,3,3,4,1,2,5,26,36.4,100.0,3,5,3,1,0,1,38,22,UtahJazz
TalenHorton-Tucker,9,5,4,5,0,3,1,1,7,23,50.0,0,1,4,5,0,0,3,2,12,UtahJazz
KeyonteGeorge,9,1,3,4,1,4,0,0,3,23,40.0,100.0,0,1,3,1,1,0,10,8,UtahJazz
OchaiAgbaji,6,3,0,0,2,5,0,1,1,18,50.0,0,0,3,2,0,0,0,5,4,UtahJazz
KrisDunn,5,1,0,1,1,1,2,2,3,13,50.0,0,0,1,0,0,0,3,10,8,UtahJazz
SimoneFontecchio,5,1,1,2,1,3,0,0,1,8,50.0,0,0,1,1,0,0,1,-3,3,UtahJazz
WalkerKessler,4,4,1,4,0,0,2,4,0,18,11.1,0,1,3,0,0,2,2,-13,5,UtahJazz
OmerYurtseven,3,3,1,2,0,0,1,2,1,7,0.0,0,1,2,1,0,0,3,-3,4,UtahJazz
UtahJazz,133,50,25,44,22,43,17,24,35,240,36.5,0,10,40,21,7,3,22,120,160,UtahJazz
DesmondBane,21,3,3,7,4,12,3,3,0,27,36.8,100.0,1,2,2,1,0,1,-25,11,MemphisGrizzlies
JarenJacksonJr.,19,8,4,9,1,8,8,8,2,26,29.4,100.0,3,5,2,0,1,3,-25,16,MemphisGrizzlies
VinceWilliamsJr.,12,2,1,1,1,4,7,8,3,16,40.0,87.5,0,2,1,1,3,3,9,16,MemphisGrizzlies
KennyLofton,12,5,3,6,1,1,3,9,2,19,57.1,33.3,2,3,1,2,0,5,5,11,MemphisGrizzlies
MarcusSmart,11,2,3,4,1,7,2,2,6,28,36.4,100.0,0,2,5,4,0,3,-28,11,MemphisGrizzlies
DavidRoddy,9,3,3,5,1,3,0,0,1,24,50.0,0,1,2,1,0,1,1,-17,9,MemphisGrizzlies
ZiaireWilliams,8,4,0,0,2,5,2,2,0,19,40.0,100.0,1,3,1,0,2,2,-12,10,MemphisGrizzlies
JohnKonchar,7,7,2,4,1,2,0,0,2,18,50.0,0,3,4,0,0,0,1,-8,13,MemphisGrizzlies
JakeLaRavia,4,0,2,2,0,2,0,0,0,9,50.0,0,0,0,0,0,0,0,3,2,MemphisGrizzlies
JacobGilyard,3,3,0,0,1,2,0,0,6,20,50.0,0,0,3,0,1,0,0,4,12,MemphisGrizzlies
LukeKennard,3,1,0,1,1,8,0,0,3,21,11.1,0,0,1,0,2,0,0,-19,1,MemphisGrizzlies
XavierTillman,0,4,0,3,0,0,0,0,0,14,0.0,0,3,1,2,1,0,3,-7,0,MemphisGrizzlies
MemphisGrizzlies,109,42,21,42,14,54,25,32,25,240,36.5,0,14,28,15,12,7,22,-120,112,MemphisGrizzlies
