PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
JordanClarkson,37,3,9,16,5,10,4,4,5,36,68.2,100.0,1,2,0,1,0,0,0,34,UtahJazz
LauriMarkkanen,21,2,4,8,1,4,10,12,0,40,46.7,80.0,0,2,0,1,2,1,1,17,UtahJazz
JohnCollins,15,14,4,8,1,2,4,6,1,35,57.1,100.0,4,10,0,0,2,6,-7,25,UtahJazz
KeyonteGeorge,15,3,2,5,3,6,2,3,6,29,41.7,0,0,3,3,1,0,2,2,15,UtahJazz
TalenHorton-Tucker,9,3,1,1,1,4,4,4,4,19,100.0,0,0,3,3,0,1,4,-5,11,UtahJazz
OchaiAgbaji,8,5,1,2,2,2,0,0,0,25,37.5,100.0,2,3,0,0,3,3,4,15,UtahJazz
CollinSexton,8,4,3,6,0,2,2,2,4,20,50.0,100.0,2,2,0,0,2,3,-6,13,UtahJazz
SimoneFontecchio,8,1,1,1,2,4,0,0,0,15,66.7,0,0,1,1,0,0,2,-2,6,UtahJazz
KellyOlynyk,7,4,2,2,1,2,0,0,7,20,16.7,0,1,3,1,0,0,2,-2,16,UtahJazz
KrisDunn,0,0,0,0,0,0,0,0,0,1,33.3,0,0,0,0,0,0,0,0,0,UtahJazz
UtahJazz,128,44,27,49,16,36,26,31,27,240,0.0,50.0,11,33,8,3,10,23,-15,152,UtahJazz
KevinDurant,38,9,9,14,6,8,2,2,9,33,68.2,100.0,0,9,1,0,0,1,-8,48,PhoenixSuns
DevinBooker,24,4,5,12,2,3,8,10,15,32,46.7,80.0,0,4,1,0,0,3,9,32,PhoenixSuns
JusufNurkic,15,7,4,6,0,1,7,7,4,23,57.1,100.0,2,5,4,1,0,4,-2,20,PhoenixSuns
EricGordon,14,2,1,4,4,8,0,0,1,33,41.7,0,0,2,1,1,1,2,-2,11,PhoenixSuns
DrewEubanks,11,4,4,4,1,1,0,0,0,21,100.0,0,0,4,0,0,0,2,8,15,PhoenixSuns
GraysonAllen,10,1,1,4,2,4,2,2,1,30,37.5,100.0,0,1,0,0,0,1,-8,7,PhoenixSuns
KeitaBates-Diop,7,3,2,4,0,0,3,3,0,20,50.0,100.0,1,2,0,2,3,4,9,13,PhoenixSuns
NassirLittle,5,1,1,1,1,2,0,0,1,11,66.7,0,0,1,0,0,0,0,8,6,PhoenixSuns
JordanGoodwin,3,2,0,2,1,4,0,0,4,14,16.7,0,0,2,0,1,0,2,13,5,PhoenixSuns
YutaWatanabe,3,2,0,1,1,2,0,0,0,10,33.3,0,1,1,0,0,0,1,2,3,PhoenixSuns
JoshOkogie,1,1,0,1,0,0,1,2,0,13,0.0,50.0,1,0,1,0,0,2,-14,-1,PhoenixSuns
PhoenixSuns,131,43,27,53,18,33,23,26,35,240,52.3,0,9,34,9,5,4,22,15,159,PhoenixSuns
