PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
KyleKuzma,38,8,8,13,7,18,1,1,5,34,57.9,73.7,2,6,2,0,0,4,0,33,WashingtonWizards
DeniAvdija,17,12,3,3,2,6,5,8,2,31,61.9,60.0,1,11,3,1,1,5,14,23,WashingtonWizards
CoreyKispert,15,0,4,5,1,5,4,5,4,18,75.0,80.0,0,0,0,0,0,0,-4,13,WashingtonWizards
TyusJones,14,0,2,4,3,7,1,1,8,27,26.3,100.0,0,0,1,1,1,1,5,17,WashingtonWizards
JordanPoole,13,3,5,7,1,7,0,0,6,29,45.5,25.0,0,3,0,0,1,3,6,15,WashingtonWizards
DanielGafford,10,9,3,4,0,0,4,4,0,28,40.0,33.3,2,7,0,2,4,2,13,24,WashingtonWizards
MikeMuscala,10,4,2,3,2,5,0,0,3,20,0,0,0,4,0,0,0,1,-16,13,WashingtonWizards
LandryShamet,4,2,2,4,0,2,0,0,2,19,0.0,0,0,2,0,1,2,1,-11,7,WashingtonWizards
DelonWright,3,0,0,0,1,2,0,0,2,18,0.0,0,0,0,3,0,0,2,-9,1,WashingtonWizards
BilalCoulibaly,2,4,0,2,0,1,2,2,3,17,49.5,0,1,3,0,0,0,2,-18,6,WashingtonWizards
WashingtonWizards,126,45,29,45,17,53,17,21,35,240,46.9,0,6,39,9,5,9,21,-20,152,WashingtonWizards
TraeYoung,40,3,7,11,4,8,14,19,13,40,57.9,73.7,0,3,5,3,0,2,-13,41,AtlantaHawks
DejounteMurray,32,6,10,15,3,6,3,5,3,34,61.9,60.0,1,5,1,0,0,1,0,30,AtlantaHawks
JalenT.Johnson,24,13,7,8,2,4,4,5,4,37,75.0,80.0,0,13,1,0,0,2,-13,36,AtlantaHawks
BogdanBogdanovic,12,1,4,11,1,8,1,1,1,27,26.3,100.0,0,1,0,0,0,1,24,0,AtlantaHawks
ClintCapela,11,17,5,11,0,0,1,4,3,33,45.5,25.0,7,10,3,1,1,4,-4,21,AtlantaHawks
SaddiqBey,11,11,2,5,2,5,1,3,0,32,40.0,33.3,3,8,1,0,1,3,-2,14,AtlantaHawks
GarrisonMathews,0,2,0,0,0,0,0,0,1,14,0,0,1,1,0,0,1,1,4,4,AtlantaHawks
BrunoFernando,0,3,0,2,0,0,0,0,2,15,0.0,0,0,3,1,1,0,4,7,3,AtlantaHawks
PattyMills,0,2,0,0,0,1,0,0,0,8,0.0,0,0,2,0,0,0,0,17,1,AtlantaHawks
AtlantaHawks,130,60,35,63,12,32,24,37,27,240,49.5,0,13,47,12,5,3,19,20,150,AtlantaHawks
