PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
KyleKuzma,17,6,5,12,2,5,1,1,1,29,50.0,75.0,1,5,3,0,0,1,-19,11,WashingtonWizards
TyusJones,16,4,4,8,2,4,2,3,4,34,47.4,75.0,0,4,0,0,1,2,-29,18,WashingtonWizards
CoreyKispert,15,4,2,3,3,3,2,2,0,16,47.6,50.0,0,4,0,0,0,2,-6,18,WashingtonWizards
JordanPoole,14,2,5,9,1,5,1,1,6,31,100.0,62.5,0,2,3,0,0,4,-17,11,WashingtonWizards
DeniAvdija,11,6,4,5,1,4,0,0,5,31,31.3,100.0,1,5,3,1,1,2,9,17,WashingtonWizards
LandryShamet,11,0,2,3,2,7,1,1,0,17,33.3,50.0,0,0,1,0,0,3,-3,4,WashingtonWizards
DanielGafford,10,9,4,7,0,0,2,3,1,30,42.9,0.0,4,5,2,2,4,4,-16,20,WashingtonWizards
BilalCoulibaly,10,2,0,0,2,4,4,4,1,20,40.0,0,0,2,2,0,0,1,15,9,WashingtonWizards
DaniloGallinari,9,1,2,2,1,4,2,2,4,18,50.0,0,1,0,1,0,0,1,9,10,WashingtonWizards
DelonWright,4,2,1,1,0,2,2,3,6,14,45.5,0,0,2,0,1,0,3,22,10,WashingtonWizards
WashingtonWizards,117,37,29,50,14,38,17,20,28,240,48.9,0,8,29,15,4,6,23,-35,128,WashingtonWizards
GordonHayward,27,5,9,16,1,4,6,8,9,36,50.0,75.0,0,5,0,4,1,0,16,34,CharlotteHornets
LaMeloBall,25,6,5,11,4,8,3,4,6,38,47.4,75.0,3,3,2,2,0,5,0,26,CharlotteHornets
MarkWilliams,21,24,10,21,0,0,1,2,3,30,47.6,50.0,15,9,0,0,0,0,19,36,CharlotteHornets
NickRichards,15,6,5,5,0,0,5,8,0,18,100.0,62.5,2,4,1,1,1,4,-12,19,CharlotteHornets
BrandonMiller,12,3,5,10,0,6,2,2,2,32,31.3,100.0,2,1,1,1,2,5,3,8,CharlotteHornets
P.J.Washington,11,10,5,9,0,6,1,2,4,38,33.3,50.0,3,7,2,1,0,0,-1,13,CharlotteHornets
J.T.Thor,7,5,2,5,1,2,0,2,2,20,42.9,0.0,1,4,0,0,0,1,17,8,CharlotteHornets
TheoMaledon,4,5,2,4,0,1,0,0,4,16,40.0,0,1,4,2,1,0,1,1,9,CharlotteHornets
BryceMcGowens,2,3,1,1,0,1,0,0,1,13,50.0,0,1,2,1,0,0,3,-8,4,CharlotteHornets
CharlotteHornets,124,71,44,82,6,28,18,28,31,240,45.5,0,30,41,10,10,4,19,35,157,CharlotteHornets
