PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
KyleKuzma,22,6,4,12,2,6,8,10,3,30,55.0,40.0,2,4,2,0,0,1,-24,15,WashingtonWizards
JordanPoole,16,5,4,10,2,7,2,2,3,32,38.9,66.7,1,4,5,1,0,4,-10,9,WashingtonWizards
DeniAvdija,15,3,2,2,3,4,2,2,4,24,72.7,66.7,1,2,0,3,0,4,1,24,WashingtonWizards
TyusJones,12,3,6,6,0,1,0,0,2,22,87.5,100.0,0,3,0,0,0,1,-20,16,WashingtonWizards
CoreyKispert,12,1,0,1,3,7,3,4,4,26,100.0,100.0,0,1,0,0,0,3,2,11,WashingtonWizards
BilalCoulibaly,10,8,2,3,2,2,0,0,2,28,30.8,0,0,8,0,0,1,3,-8,20,WashingtonWizards
DanielGafford,10,9,5,6,0,0,0,1,2,24,33.3,50.0,2,7,0,0,0,1,-16,19,WashingtonWizards
DaniloGallinari,10,6,3,4,0,2,4,4,1,18,100.0,0,2,4,2,0,0,0,-8,12,WashingtonWizards
JonathanDavis,4,1,2,3,0,0,0,0,1,7,50.0,0.0,0,1,0,1,0,1,11,6,WashingtonWizards
LandryShamet,4,2,2,5,0,7,0,0,1,21,50.0,0.0,0,2,0,0,0,2,-12,-3,WashingtonWizards
RyanRollins,2,0,1,1,0,0,0,0,0,2,0.0,0,0,0,0,0,0,0,5,2,WashingtonWizards
PatrickBaldwinJr.,0,1,0,0,0,0,0,0,0,2,0.0,0,0,1,0,0,0,1,5,1,WashingtonWizards
AnthonyGill,0,1,0,0,0,0,0,0,0,5,52.2,0,0,1,3,1,0,1,9,-1,WashingtonWizards
WashingtonWizards,117,46,31,53,12,36,19,23,23,240,48.3,0,8,38,12,6,1,22,-65,131,WashingtonWizards
TimHardawayJr.,31,4,4,9,7,11,2,5,3,27,55.0,40.0,0,4,1,0,0,1,17,25,DallasMavericks
LukaDoncic,26,7,3,7,4,11,8,12,10,32,38.9,66.7,1,6,3,0,0,2,12,25,DallasMavericks
DerrickJones,20,7,6,6,2,5,2,3,1,26,72.7,66.7,1,6,2,1,2,4,5,25,DallasMavericks
DereckLively,17,9,7,8,0,0,3,3,2,24,87.5,100.0,4,5,1,1,2,2,16,29,DallasMavericks
SethCurry,15,2,4,4,2,2,1,1,2,20,100.0,100.0,0,2,0,1,0,1,-3,20,DallasMavericks
GrantWilliams,10,3,2,6,2,7,0,0,7,36,30.8,0,2,1,1,1,0,1,14,11,DallasMavericks
DanteExum,5,7,2,5,0,1,1,2,3,19,33.3,50.0,0,7,0,0,0,3,0,10,DallasMavericks
DwightPowell,2,1,1,1,0,0,0,0,2,7,100.0,0,0,1,0,0,0,1,2,5,DallasMavericks
Olivier-MaxenceProsper,2,2,1,1,0,1,0,2,1,7,50.0,0.0,0,2,0,0,0,0,-2,2,DallasMavericks
JadenHardy,2,0,1,2,0,0,0,1,0,4,50.0,0.0,0,0,1,1,0,0,-3,0,DallasMavericks
JoshGreen,0,4,0,0,0,4,0,0,1,37,0.0,0,1,3,0,1,0,1,12,2,DallasMavericks
RichaunHolmes,0,0,0,1,0,0,0,0,0,2,0.0,0,0,0,1,0,0,0,-5,-2,DallasMavericks
DallasMavericks,130,46,31,50,17,42,17,29,32,240,52.2,0,9,37,10,6,4,16,65,152,DallasMavericks
