PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
JordanPoole,30,2,5,9,6,11,2,2,3,33,58.8,75.0,0,2,3,3,0,3,-18,26,WashingtonWizards
TyusJones,22,6,4,7,4,6,2,2,6,34,45.5,50.0,0,6,2,1,1,0,0,29,WashingtonWizards
KyleKuzma,17,4,4,10,2,8,3,3,6,36,69.2,100.0,1,3,6,0,1,5,8,10,WashingtonWizards
CoreyKispert,15,4,3,3,3,5,0,2,1,19,55.6,50.0,0,4,0,0,0,1,6,16,WashingtonWizards
DanielGafford,13,13,6,7,0,0,1,2,3,32,36.4,100.0,6,7,3,2,3,4,-1,29,WashingtonWizards
DaniloGallinari,9,3,1,2,1,3,4,5,1,16,36.4,0,1,2,1,0,0,2,-7,8,WashingtonWizards
DelonWright,7,4,2,3,0,2,3,3,1,13,80.0,100.0,0,4,1,1,0,1,-4,9,WashingtonWizards
BilalCoulibaly,4,6,1,1,0,0,2,2,3,26,66.7,50.0,2,4,2,0,2,4,-2,13,WashingtonWizards
DeniAvdija,2,5,1,3,0,4,0,0,3,23,50.0,0,0,5,2,3,1,1,-10,6,WashingtonWizards
LandryShamet,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,-12,-3,WashingtonWizards
WashingtonWizards,119,47,27,45,16,42,17,21,27,240,52.7,0,10,37,20,10,8,21,-40,143,WashingtonWizards
FranzWagner,28,8,8,13,2,4,6,8,9,38,58.8,75.0,0,8,2,1,1,3,26,36,OrlandoMagic
PaoloBanchero,24,3,10,21,0,1,4,8,8,38,45.5,50.0,1,2,3,1,1,1,0,18,OrlandoMagic
AnthonyBlack,23,6,5,7,4,6,1,1,1,33,69.2,100.0,1,5,5,4,0,4,-2,25,OrlandoMagic
MoritzWagner,11,5,5,9,0,0,1,2,1,15,55.6,50.0,0,5,0,0,0,1,-3,12,OrlandoMagic
ColeAnthony,11,3,3,8,1,3,2,2,4,23,36.4,100.0,0,3,1,1,0,2,5,11,OrlandoMagic
JalenSuggs,11,3,1,1,3,10,0,0,1,29,36.4,0,1,2,2,3,1,1,-1,10,OrlandoMagic
GogaBitadze,10,7,4,5,0,0,2,2,3,12,80.0,100.0,4,3,0,0,1,0,-1,20,OrlandoMagic
WendellCarter,6,4,1,2,1,1,1,2,2,21,66.7,50.0,0,4,2,0,1,1,12,9,OrlandoMagic
GaryHarris,3,0,0,1,1,1,0,0,1,19,50.0,0,0,0,1,1,0,3,4,3,OrlandoMagic
CalebHoustan,0,1,0,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0,1,OrlandoMagic
OrlandoMagic,127,40,37,67,12,26,17,25,30,240,52.7,0,7,33,16,11,5,16,40,145,OrlandoMagic
